roc				
train\test	car	web	finance	all
car	0.9143	0.7431	0.8326	0.8592
web	0.8184	0.7317	0.8426	0.8133
finance	0.7927	0.7462	0.8655	0.807
all	0.9207	0.7718	0.8948	0.8833
				
acc				
train\test	car	web	finance	all
car	0.86	0.834	0.824	0.7932
web	0.812	0.8255	0.872	0.8422
finance	0.772	0.8426	0.808	0.8327
all	0.812	0.8809	0.848	0.8571
				
tpr				
train\test	car	web	finance	all
car	0.8936	0.2069	0.5625	0.75
web	0.5319	0.3793	0.4375	0.2593
finance	0.5957	0.2414	0.75	0.3241
all	0.8936	0.1724	0.7813	0.6667
				
fpr				
train\test	car	web	finance	all
car	0.1478	0.0777	0.1376	0.1994
web	0.1232	0.1117	0.0642	0.0574
finance	0.1872	0.0728	0.1835	0.0797
all	0.2069	0.0194	0.1422	0.11
